カード名/商品名,買取価格
拡張パック第8弾 青い衝撃(未開封パック),"¥7,000"
メガバトルデッキ60「MレックウザEX」(未開封パック),"¥7,000"
映画公開記念 プレミアムシート2008(未開封パック),"¥6,500"
ポケモンカードゲーム コレクションパック レジギガスLV.X(未開封パック),"¥6,500"
拡張パック第5弾 ガイアボルケーノ(未開封パック),"¥6,500"
プレミアムファイル(未開封パック),"¥6,000"
サザンアイランド-海辺(未開封パック),"¥6,000"
サザンアイランド-海(未開封パック),"¥6,000"
エキスパートデッキ リーフィアVSメタグロス +Online(未開封パック),"¥6,000"
拡張パック第4弾 ダークラッシュ(未開封パック),"¥6,000"
拡張パック第5弾 リューズブラスト(未開封パック),"¥6,000"
拡張パック第6弾 コールドフレア(未開封パック),"¥6,000"
拡張パック第6弾 フリーズボルト(未開封パック),"¥6,000"
拡張パック第3弾 ライジングフィスト(未開封パック),"¥6,000"
拡張パック第10弾 めざめる超王(未開封パック),"¥6,000"
拡張パック第1弾 ホワイトコレクション(未開封パック),"¥5,500"
拡張パック第8弾 ライデンナックル(未開封パック),"¥5,500"
サザンアイランド-ジャングル(未開封パック),"¥5,000"
サザンアイランド-川辺(未開封パック),"¥5,000"
サザンアイランド-お花畑(未開封パック),"¥5,000"
マスターキット(未開封パック),"¥5,000"
ポケモンカードゲームDP エントリーパック(未開封パック),"¥5,000"
構築ハーフデッキ 守りのトリデプス(未開封パック),"¥5,000"
ポケモンカードゲームDP エントリーパック'08DX(未開封パック),"¥5,000"
ひかる闇スペシャルパック(未開封パック),"¥5,000"
拡張パック第1弾 ブラックコレクション(未開封パック),"¥5,000"
バトル強化デッキ ビリジオン(未開封パック),"¥5,000"
拡張パック第2弾 おわりなき戦い(未開封パック),"¥4,500"
拡張パック第7弾 バンデットリング(未開封パック),"¥4,500"
拡張パック第8弾 赤い閃光(未開封パック),"¥4,500"
拡張パック第1弾 コレクションX(未開封パック),"¥4,200"
ランダム構築スターター スタンダードデッキ(未開封パック),"¥4,000"
構築ハーフデッキ 攻めのラムパルド(未開封パック),"¥4,000"
バトルスタートデッキ ドダイトス(未開封パック),"¥4,000"
バトルスタートデッキ ブーバーン(未開封パック),"¥4,000"
バトルスタートデッキ カメックス(未開封パック),"¥4,000"
拡張パック第1弾 コレクションY(未開封パック),"¥4,000"
BREAK進化パック「ライチュウBREAK」(未開封パック),"¥4,000"
拡張パック第2弾 鋭いつめ(未開封パック),"¥3,500"
拡張パック第2弾 逆転のいちげき(未開封パック),"¥3,500"
プロモカードパック 25th ANNIVERSARY edition(未開封パック),"¥3,500"
バトル強化デッキ テラキオン(未開封パック),"¥3,000"
バトル強化デッキ コバルオン(未開封パック),"¥3,000"
拡張パック第11弾 冷酷の反逆者(未開封パック),"¥2,500"
強化パック ロストリンク(未開封パック),"¥2,000"
対戦スタートデッキ30「エンブオーEX VS トゲキッスEX」 (未開封パック),"¥1,800"
ポケモンカードゲームDPt ギフトボックス(未開封パック),"¥1,500"
シャイニーコレクション(未開封パック),"¥1,500"
拡張パック第11弾 爆熱の闘士(未開封パック),"¥1,200"
コレクションシート 旅立ちの仲間 ツタージャ(未開封パック),¥800
コレクションシート 旅立ちの仲間 ポカブ(未開封パック),¥800
コレクションシート 旅立ちの仲間 ミジュマル(未開封パック),¥800
構築スタンダードデッキ ディアルガLV.X(未開封パック),¥500
構築スタンダードデッキ パルキアLV.X(未開封パック),¥500
対戦スターターパック ブーバーンVSエレキブル(未開封パック),¥500
対戦スターターパック ヒードランVSレジギガス(未開封パック),¥500
対戦スターターパック ギラティナVSディアルガ(未開封パック),¥500
対戦スターターパックSP ゴウカザルVSエルレイド(未開封パック),¥500
構築スタンダードデッキ アルセウスLV.X 草&炎(未開封パック),¥500
