タイトル,発売日
LINE：ディズニー トイカンパニー,2019/4/18
アルテイルNEO,2018/10/25
スヌーピー ライフ,2018/1/24
レイヤードストーリーズ ゼロ,2017/12/7
OVERHIT -オーバーヒット-,2018/5/29
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,2017/12/5
GOD EATER RESONANT OPS,2018/4/4
超進化物語,2018/3/28
ワールドフリッパー,2019/11/27
ハイスクール・フリート 艦隊バトルでピンチ！,2019/3/27
AKB48ダイスキャラバン,2018/4/10
KOFクロニクル,2019/10/17
クロノマギア,2018/4/10
モダンコンバット Versus,2017/12/20
宇宙戦艦ヤマト2202 -Hero's Record-,2018/1/29
23/7 トゥエンティ スリー セブン,2018/3/15
バクレツモンスター,2018/10/17
ときめきアイドル,2018/3/20
魔界ウォーズ,2018/2/15
デジモンリアライズ,2018/6/26
ドラガリアロスト,2018/9/27
明治東亰恋伽～ハヰカラデヱト～,2018/12/14
のぶニャがの野望 ニャぷり！,2018/8/8
妖怪ウォッチ ワールド,2018/6/27
鬼灯の冷徹～地獄のパズルも君次第,2019/6/13
LINE ブラウンストーリーズ,2019/2/18
ワイルドアームズ ミリオンメモリーズ,2018/9/26
ラブプラス EVERY,2019/10/31
サファイア・スフィア〜蒼き境界〜,2018/8/9
レジェンドオブリング,2018/6/21
ラブライブ！スクールアイドルフェスティバルALL STARS,2019/9/26
戦国大河 - 天下統一シミュレーション,2018/11/21
爆走ドリフターズ,2019/11/14
フリージング エクステンション - 学園美少女RPG,2018/8/23
真・三國無双 斬,2018/9/20
テラウォーズ,2019/7/1
アークザラッド R,2018/8/23
イドラ ファンタシースターサーガ,2018/11/27
トロとパズル ~どこでもいっしょ~,2019/10/1
オンエア！,2018/8/16
リボルバーズエイト - リボハチ,2019/1/22
ホップステップジャンパーズ,2018/12/5
ワールドエンドヒーローズ,2018/11/13
ArkResona -アークレゾナ-,2019/8/14
シンエンレジスト,2018/6/26
転生したらスライムだった件 ～魔国連邦創世記～,2018/10/30
ヴァンガード ZERO,2019/12/5
妖怪ウォッチ メダルウォーズ,2019/7/30
ゲシュタルト・オーディン,2018/10/18
少女歌劇 レヴュースタァライト -Re LIVE-,2018/10/28
禍つヴァールハイト,2019/4/23
真・北斗無双,2020/12/14
ブラッククローバー 夢幻の騎士団,2018/11/14
ユニティア神託の使徒×終焉の女神,2018/7/31
プレカトゥスの天秤,2018/10/31
ツムツムスタジアム,2020/9/29
ケンガン ULTIMATE BATTLE,2019/6/12
リンクスリングス,2019/5/30
ジョジョのピタパタポップ,2018/10/10
ブレイドエクスロード,2020/4/21
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2018/11/1
劇的采配！プロ野球リバーサル,2019/5/14
FAITH - フェイス,2025/8/7
シティダンク,2020/5/7
〈物語〉シリーズ ぷくぷく,2018/8/21
Readyyy!,2019/2/1
グリムエコーズ,2019/3/28
DarkAvenger X - ダークアベンジャー クロス,2019/2/13
ドラゴンネストM,2018/12/13
蒼天のスカイガレオン,2019/8/1
東京コンセプション,2018/10/23
