タイトル,発売日
ダンまち〜メモリア・フレーゼ〜,
きららファンタジア,2017/12/11
週刊少年ジャンプ オレコレクション！,2017/07/06
欅のキセキ,2017/10/18
エターナルリンケージ -蒼穹のアムネシア-,2017/11/21
KING OF PRISM プリズムラッシュ！LIVE,2017/08/10
サーヴァント オブ スローンズ,2018/01/24
恋愛プリンセス 恋愛ゲーム・乙女ゲーム女性向け,
機動戦士ガンダム 即応戦線,2018/02/07
ワールド オブ ファイナルファンタジー メリメロ,2017/12/12
ヴィーナスランブル,2017/08/31
ぱすてるメモリーズ～3DバトルRPG×美少女ゲー,
勇者のくせにこなまいきだDASH!,
オーディナル ストラータ,2018/01/09
Pancy-恋活・婚活マッチングアプリ,
仮面ライダー シティウォーズ,2017/10/25
幽遊白書 100%本気バトル,
ぷちぐるラブライブ！,2018/04/24
刀使ノ巫女 刻みし一閃の燈火,2018/03/19
ドラゴン騎士団,2011年内
進撃の巨人 TACTICS,2019/04/18
NARUTO X BORUTO 忍者BORUTAGE,2017/11/15
ポポロクロイス物語 ～ナルシアの涙と妖精の笛,2018/05/08
三極ジャスティス,2018/06/01
LINE：ディズニー トイカンパニー,2019/04/18
アルテイルNEO,2018/10/25
スヌーピー ライフ,2018/01/24
レイヤードストーリーズ ゼロ,2017/12/07
OVERHIT -オーバーヒット-,2018/05/29
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,2017/12/05
GOD EATER RESONANT OPS,2018/04/04
超進化物語,2018/03/28
ワールドフリッパー,2019/11/27
ハイスクール・フリート 艦隊バトルでピンチ！,2019/03/27
AKB48ダイスキャラバン,2018/04/10
KOFクロニクル,2019/10/17
クロノマギア,2018/04/10
モダンコンバット Versus,2017/12/20
宇宙戦艦ヤマト2202 -Hero's Record-,
23/7 トゥエンティ スリー セブン,2018/03/15
バクレツモンスター,2018/10/17
ときめきアイドル,2018/03/20
魔界ウォーズ,2018/02/15
デジモンリアライズ,2018/06/26
ドラガリアロスト,2018/09/27
明治東亰恋伽～ハヰカラデヱト～,2018/12/14
のぶニャがの野望 ニャぷり！,2018/08/08
妖怪ウォッチ ワールド,2018/06/27
鬼灯の冷徹～地獄のパズルも君次第,2019/06/13
LINE ブラウンストーリーズ,2019/02/18
ワイルドアームズ ミリオンメモリーズ,2018/09/26
ラブプラス EVERY,2019/10/31
サファイア・スフィア〜蒼き境界〜,2018/08/09
レジェンドオブリング,2018/06/21
ラブライブ！スクールアイドルフェスティバルALL STARS,
戦国大河 - 天下統一シミュレーション,
爆走ドリフターズ,2019/11/14
フリージング エクステンション - 学園美少女RPG,
真・三國無双 斬,2018/09/20
テラウォーズ,未定
アークザラッド R,2018/08/23
イドラ ファンタシースターサーガ,2018/11/27
トロとパズル ~どこでもいっしょ~,
オンエア！,2018/08/16
リボルバーズエイト - リボハチ,2019/01/22
ホップステップジャンパーズ,2018/12/05
ワールドエンドヒーローズ,2018/11/13
ArkResona -アークレゾナ-,2019/08/14
シンエンレジスト,2018/06/26
転生したらスライムだった件 ～魔国連邦創世記～,
ヴァンガード ZERO,2019/12/05
妖怪ウォッチ メダルウォーズ,2019/07/30
ゲシュタルト・オーディン,2018/10/18
少女歌劇 レヴュースタァライト -Re LIVE-,
禍つヴァールハイト,2019/04/23
真・北斗無双,2020/12/14
ブラッククローバー 夢幻の騎士団,2018/11/14
ユニティア神託の使徒×終焉の女神,
プレカトゥスの天秤,2018/10/31
ツムツムスタジアム,2020/09/29
ケンガン ULTIMATE BATTLE,2019/06/12
リンクスリングス,2019/05/30
ジョジョのピタパタポップ,2018/10/10
ブレイドエクスロード,2020/04/21
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2018/11/01
劇的采配！プロ野球リバーサル,2019/05/14
FAITH - フェイス,2025/08/07
シティダンク,2020/05/07
〈物語〉シリーズ ぷくぷく,2018/08/21
Readyyy!,2019/02/01
グリムエコーズ,2019/03/28
DarkAvenger X - ダークアベンジャー クロス,
ドラゴンネストM,2018/12/13
蒼天のスカイガレオン,2019/08/01
東京コンセプション,2018/10/23
でみめん,2018/12/12
ラストイデア,2019/04/18
デビルブック,2019/01/08
ディズニー ミュージックパレード,2024/11/21
アイチュウ ÉtoileStage,2023/04/26
この素晴らしい世界に祝福を！ファンタスティックデイズ,2020/02/27
重装出陣,2020/07/31
星鳴エコーズ,2019/11/27
ドクターマリオ ワールド,2019/07/10
ウルトラ怪獣バトルブリーダーズ,2018/12/20
Witch's Weapon-魔女兵器-,2019/04/25
なむあみだ仏っ！-蓮台 UTENA-,2019/04/29
メリーガーランド　美少女 放置 RPG,2019/01/29
HUNTER×HUNTER アリーナバトル,2020/01/30
最果てのバベル,2019/06/12
LINE：ピクサー タワー ～おかいものパズル～,2019/08/14
暁のブレイカーズ  ～アクション・バトル～,
荒野のコトブキ飛行隊  大空のテイクオフガールズ！,2019/02/13
ミイラの飼い方 パズルで育てる不思議な生き物-comico-,
キックフライト,2020/02/13
メガミラクルフォース,2019/01/31
とある魔術の禁書目録 幻想収束,2019/07/04
ラクガキキングダム -あなたの未来を描く育成RPG-,
MARVEL Super War,2015/01/22
機動都市X：スーパーメカシティ,2021/03/25
乙女神楽 〜ザンビへの鎮魂歌〜,
アカツキランド,2019/06/04
名探偵コナンランナー,2019/04/10
ガンビット,2019/05/15
テイルズ オブ クレストリア,2020/07/16
戦国BASARA バトルパーティー,2019/06/24
社長、バトルの時間です！,2019/10/17
カラーピーソウト,2019/06/25
ゼノンザード,2019/09/10
ハリー・ポッター： 魔法同盟,2019/07/02
ポケモンスクランブルSP,2019/07/23
リーグ・オブ・ワンダーランド,2019/09/30
revisions next stage,2019/10/30
ユージェネ,2021/06/16
装甲娘,2018/01/30
快感フレーズ CLIMAX,2019/10/15
牧場婚活,2019/05/15
Project NOAH - プロジェクト・ノア -,2019/09/09
ガンダムブレイカーモバイル,2019/07/31
三国志大戦M：超本格戦略型カードRPG,
TERA ORIGIN,2019/10/10
カードキャプターさくら ハピネスメモリーズ,2019/10/03
ドラゴン＆コロニーズ,2019/06/18
MU：奇蹟の覚醒,2019/05/28
"ダンキラ!!! - Boys, be DANCING! -",2019/05/21
プロ野球 ファミスタ マスターオーナーズ,2019/04/18
ONE PIECE ボン！ボン！ジャーニー!!,
HiGH＆LOW THE GAME,2019/10/25
ロストディケイド,2020/02/12
スヌーピー パズルジャーニー,2020/03/03
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,2021/12/14
