年月,タイトル,売上予測（円）,サービス開始日,サービス終了日,備考
2016-04-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-05-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-06-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-07-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-08-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-09-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-10-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-11-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2016-12-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-01-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-02-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-03-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-04-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-05-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-06-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-07-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-08-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-09-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
