タイトル,年月,売上予測,関連ジャンル,サービス終了日
グラフィティスマッシュ,2019/10,"7,514万G",,2021-07-30
グラフィティスマッシュ,2019/09,"3,732万G",,2021-07-30
グラフィティスマッシュ,2019/08,"6,485万G",,2021-07-30
グラフィティスマッシュ,2019/07,"6,584万G",,2021-07-30
グラフィティスマッシュ,2019/06,"4,448万G",,2021-07-30
グラフィティスマッシュ,2019/05,"3,065万G",,2021-07-30
グラフィティスマッシュ,2019/04,"5,931万G",,2021-07-30
グラフィティスマッシュ,2019/03,"5,607万G",,2021-07-30
グラフィティスマッシュ,2019/02,"6,590万G",,2021-07-30
グラフィティスマッシュ,2019/01,"7,104万G",,2021-07-30
グラフィティスマッシュ,2020/12,856万G,,2021-07-30
グラフィティスマッシュ,2020/11,"1,803万G",,2021-07-30
グラフィティスマッシュ,2020/10,"2,712万G",,2021-07-30
グラフィティスマッシュ,2020/09,"1,550万G",,2021-07-30
グラフィティスマッシュ,2020/08,"2,014万G",,2021-07-30
グラフィティスマッシュ,2020/07,"2,213万G",,2021-07-30
グラフィティスマッシュ,2020/06,"5,260万G",,2021-07-30
グラフィティスマッシュ,2020/05,"3,362万G",,2021-07-30
グラフィティスマッシュ,2020/04,"2,648万G",,2021-07-30
グラフィティスマッシュ,2020/03,"6,000万G",,2021-07-30
グラフィティスマッシュ,2020/02,"6,303万G",,2021-07-30
グラフィティスマッシュ,2020/01,"4,973万G",,2021-07-30
グラフィティスマッシュ,2021/05,679万G,,2021-07-30
グラフィティスマッシュ,2021/04,"1,359万G",,2021-07-30
グラフィティスマッシュ,2021/03,690万G,,2021-07-30
グラフィティスマッシュ,2021/02,"1,635万G",,2021-07-30
グラフィティスマッシュ,2021/01,602万G,,2021-07-30
ジャンプチ ヒーローズ,2018/12,1.98億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/11,2.39億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/10,2.98億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/09,4.00億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/08,1.83億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/07,2.45億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/06,2.46億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/05,3.72億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/04,3.95億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2018/03,"2,889万G",GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/12,1.89億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/11,1.91億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/10,2.17億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/09,1.91億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/08,1.76億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/07,2.60億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/06,2.50億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/05,1.68億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/04,2.63億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/03,1.85億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/02,1.51億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2019/01,1.49億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/12,2.79億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/11,3.85億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/10,2.54億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/09,1.78億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/08,1.81億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/07,2.54億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/06,3.48億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/05,2.97億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/04,4.51億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/03,2.53億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/02,2.32億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2020/01,2.03億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/12,2.59億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/11,2.37億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/10,3.35億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/09,2.50億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/08,1.86億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/07,2.64億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/06,2.60億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/05,3.37億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/04,3.94億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/03,3.01億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/02,2.66億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2021/01,2.83億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/12,1.75億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/11,1.90億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/10,2.68億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/09,1.87億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/08,2.13億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/07,2.50億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/06,2.64億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/05,2.36億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/04,3.61億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/03,2.76億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/02,2.19億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2022/01,3.22億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/12,"7,184万G",GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/11,2.77億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/10,2.65億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/09,1.19億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/08,2.39億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/07,2.79億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/06,2.13億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/05,2.37億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/04,3.28億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/03,2.22億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/02,1.73億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2023/01,2.86億G,GAME RPG PUZ,2024-03-27
ジャンプチ ヒーローズ,2024/02,817万G,GAME RPG PUZ,2024-03-27
StarHorsePocket+,2018/12,"8,989万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/11,"6,077万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/10,"6,362万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/09,"5,428万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/08,1.42億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/07,"7,285万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/06,"7,379万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/05,1.02億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/04,"6,529万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/03,1.17億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/02,1.46億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2018/01,1.61億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/12,"5,091万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/11,"3,662万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/10,"3,096万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/09,"3,855万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/08,"6,071万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/07,"6,876万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/06,"3,062万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/05,"5,267万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/04,"6,010万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/03,"6,952万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/02,"7,988万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2019/01,1.26億G,GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/12,"5,307万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/11,"5,234万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/10,"2,206万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/09,"4,325万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/08,"5,245万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/07,"4,554万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/06,"5,533万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/05,"4,915万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/04,"5,045万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/03,"4,275万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/02,"7,299万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2020/01,"7,515万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/12,"5,449万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/11,"6,619万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/10,"5,172万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/09,"3,104万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/08,"4,584万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/07,"4,561万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/06,"4,260万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/05,"4,361万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/04,"4,329万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/03,"4,611万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/02,"6,446万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2021/01,"6,796万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/12,"3,870万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/11,"5,954万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/10,"4,185万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/09,"3,430万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/08,"5,034万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/07,"4,416万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/06,"3,973万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/05,"6,458万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/04,"4,670万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/03,"3,973万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/02,"5,264万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2022/01,"8,058万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/12,"4,010万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/11,"4,963万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/10,"3,653万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/09,"2,663万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/08,"4,337万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/07,"4,393万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/06,"2,986万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/05,"5,109万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/04,"3,891万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/03,"3,572万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/02,"5,428万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2023/01,"6,680万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2024/03,"3,876万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2024/02,"5,039万G",GAME SLG SPORTS,2024-05-31
StarHorsePocket+,2024/01,"7,080万G",GAME SLG SPORTS,2024-05-31
トリカゴ スクラップマーチ,2019/07,85万G,,2020-03-31
トリカゴ スクラップマーチ,2019/06,83万G,,2020-03-31
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/12,950万G,,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/11,200万G,,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/09,"1,633万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/08,"2,521万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/07,"6,009万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/06,"2,637万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/05,"6,722万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/04,"4,773万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/03,"6,249万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/02,"7,980万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2018/01,"1,719万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/09,349万G,,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/08,"5,165万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/07,"2,305万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/06,"1,968万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/05,685万G,,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/04,795万G,,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/03,"2,467万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/02,"1,307万G",,2019-11-18
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2019/01,"1,403万G",,2019-11-18
うたのプリンスさまっ Shining Live,2018/12,2.16億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/11,1.75億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/10,2.49億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/09,4.28億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/08,2.85億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/07,2.30億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/06,2.59億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/05,2.61億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/04,2.51億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/03,2.51億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/02,3.56億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2018/01,3.17億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/12,1.53億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/11,1.86億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/10,2.00億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/09,2.85億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/08,2.96億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/07,1.82億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/06,1.79億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/05,2.93億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/04,1.99億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/03,1.59億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/02,2.05億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2019/01,2.21億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/12,"9,582万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/11,1.30億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/10,1.34億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/09,2.14億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/08,2.17億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/07,1.67億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/06,2.20億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/05,1.46億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/04,1.89億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/03,1.82億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/02,1.77億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2020/01,2.04億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/12,"8,955万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/11,"7,778万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/10,"9,729万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/09,1.35億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/08,1.26億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/07,1.08億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/06,1.44億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/05,1.48億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/04,1.47億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/03,1.20億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/02,1.13億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2021/01,1.27億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/12,1.24億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/11,1.46億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/10,1.04億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/09,1.00億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/08,1.18億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/07,"8,585万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/06,1.13億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/05,1.99億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/04,1.53億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/03,1.07億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/02,"9,751万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2022/01,1.69億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/10,"5,850万G",GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/09,1.10億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/08,1.54億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/07,1.18億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/06,1.27億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/05,1.31億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/04,1.64億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/03,1.16億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/02,1.47億G,GAME MUSIC SLG,2023-12-26
うたのプリンスさまっ Shining Live,2023/01,2.17億G,GAME MUSIC SLG,2023-12-26
千銃士,2018/12,"4,580万G",,2019-06-11
千銃士,2018/11,"3,882万G",,2019-06-11
千銃士,2018/10,"6,784万G",,2019-06-11
千銃士,2018/09,"6,027万G",,2019-06-11
千銃士,2018/08,"6,383万G",,2019-06-11
千銃士,2018/07,1.24億G,,2019-06-11
千銃士,2018/06,"4,935万G",,2019-06-11
千銃士,2018/05,"6,094万G",,2019-06-11
千銃士,2018/04,"8,454万G",,2019-06-11
千銃士,2018/03,"4,691万G",,2019-06-11
千銃士,2019/04,204万G,,2019-06-11
千銃士,2019/03,"2,779万G",,2019-06-11
千銃士,2019/02,"3,536万G",,2019-06-11
千銃士,2019/01,"2,655万G",,2019-06-11
プリキュア つながるぱずるん,2018/12,503万G,,2020-06-02
プリキュア つながるぱずるん,2018/11,368万G,,2020-06-02
プリキュア つながるぱずるん,2018/10,179万G,,2020-06-02
プリキュア つながるぱずるん,2018/09,158万G,,2020-06-02
プリキュア つながるぱずるん,2018/08,446万G,,2020-06-02
プリキュア つながるぱずるん,2018/06,189万G,,2020-06-02
プリキュア つながるぱずるん,2018/05,254万G,,2020-06-02
プリキュア つながるぱずるん,2018/03,"1,983万G",,2020-06-02
プリキュア つながるぱずるん,2019/12,156万G,,2020-06-02
プリキュア つながるぱずるん,2019/11,53万G,,2020-06-02
プリキュア つながるぱずるん,2019/10,84万G,,2020-06-02
プリキュア つながるぱずるん,2019/09,445万G,,2020-06-02
プリキュア つながるぱずるん,2019/08,454万G,,2020-06-02
プリキュア つながるぱずるん,2019/07,291万G,,2020-06-02
プリキュア つながるぱずるん,2019/06,496万G,,2020-06-02
プリキュア つながるぱずるん,2019/04,175万G,,2020-06-02
プリキュア つながるぱずるん,2020/04,82万G,,2020-06-02
プリキュア つながるぱずるん,2020/03,37万G,,2020-06-02
プリキュア つながるぱずるん,2020/02,110万G,,2020-06-02
プリキュア つながるぱずるん,2020/01,70万G,,2020-06-02
幻想神域 -Link of Hearts-,2018/02,353万G,,2018-11-08
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/12,"1,337万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/10,741万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/09,"1,527万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/08,"2,097万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/07,"1,734万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/06,"6,402万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/05,"3,336万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/04,"4,444万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/03,"4,404万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/02,"2,914万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2018/01,"7,601万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/10,461万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/09,261万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/08,281万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/07,842万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/06,"1,817万G",,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/05,238万G,,2019-12-25
戦刻ナイトブラッド【戦国恋愛ファンタジーゲーム】,2019/01,308万G,,2019-12-25
ファイトリーグ,2018/07,184万G,,2020-03-31
ファイトリーグ,2018/02,752万G,,2020-03-31
ファイトリーグ,2018/01,306万G,,2020-03-31
ファイトリーグ,2019/12,48万G,,2020-03-31
ファイトリーグ,2019/11,176万G,,2020-03-31
ファイトリーグ,2019/10,565万G,,2020-03-31
ファイトリーグ,2019/09,896万G,,2020-03-31
ファイトリーグ,2019/08,"3,198万G",,2020-03-31
ファイトリーグ,2019/07,711万G,,2020-03-31
ファイトリーグ,2019/06,3万G,,2020-03-31
ディズニー ツムツムランド,2018/12,2.15億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/11,2.87億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/10,2.20億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/09,2.83億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/08,3.03億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/07,2.55億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/06,2.41億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/05,2.73億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/04,2.83億G,GAME PUZ ACT,2024-01-31
ディズニー ツムツムランド,2018/03,2.58億G,GAME PUZ ACT,2024-01-31
