タイトル,発売日,備考
FFVII THE FIRST SOLDIER,2021/11/17,"ファイナルファンタジー, 無料, 対戦プレイ"
オルタンシア・サーガR,2021/2/1,
アイドルマスター ポップリンクス,2021/1/21,"パズル, 無料"
BLUE REFLECTION SUN/燦,2023/2/21,無料
ドラゴンクエスト ダイの大冒険　-魂の絆-,2021/9/28,ドラゴンクエスト
ゲートオブナイトメア,2021/10/26,無料
三国志群雄 本格三国RPG,2021/3/18,三国志
Apex Legends Mobile,2022/5/18,"SF, サバイバル, ミリタリー, 北米, 無料"
フィギュアストーリー,2021/6/24,"無料, プレイ人数：1人"
蒼空ファンタジー,2021/3/30,"ファンタジー, 無料"
SHAMAN KING ふんばりクロニクル,2021/12/8,"無料, アニメ/コミック, 原作モノ"
BLAZBLUE ALTERNATIVE DARKWAR,2021/2/16,"無料, ファンタジー, プレイ人数：1人"
ヴェルヴェットコード -Velvet Code-,2022/2/16,無料
コードギアス Genesic Re;CODE,2021/10/4,"SF, アニメ/コミック, 無料, 原作モノ"
無職転生 ～ゲームになっても本気だす～,2021/3/27,"アニメ/コミック, 原作モノ, 無料"
フットサルボーイズ!!!!! ハイファイリーグ,2021/11/9,"女性向け, アニメ/コミック, 女子にも人気, サッカー"
キングダムDASH!!,2021/4/20,原作モノ
sin 七つの大罪 X-TASY,2021/6/2,"ファンタジー, 無料, アニメ/コミック, 原作モノ"
にょろっこオンラインゲーム,2021/6/8,
魔法科高校の劣等生 リローデッド・メモリ,2022/6/28,"アニメ/コミック, 学園物, 原作モノ, 無料, プレイ人数：1人"
デッドバイデイライト・モバイル - NetEase,2022/4/28,ホラー/オカルト
シン・クロニクル,2022/3/23,"ファンタジー, 無料, プレイ人数：1人"
マナシスリフレイン,2021/10/22,無料
エクリプスサーガ,2021/7/8,"ファンタジー, 無料"
月光彫刻師,2021/5/25,"原作モノ, 無料"
恋愛戦国ロマネスク 女性向け人気恋愛ゲーム,2021/9/30,恋愛
プラオレ！～SMILE PRINCESS～,2022/3/15,"育成, 基本プレイ無料, アニメ/コミック, 原作モノ"
テイルズウィーバー ： SecondRun,2022/11/21,"ファンタジー, 無料"
彼女、お借りします ヒロインオールスターズ,2021/9/2,"アニメ/コミック, 原作モノ, パズル, 無料"
アイドルマスター SideM GROWING STARS,2021/10/6,"アイドルマスター SideM　GROWING STARS, 女性向け, 無料"
シドニアの騎士 掌位ノ絆,2021/8/12,"アニメ/コミック, 原作モノ, SF, 無料"
D_CIDE TRAUMEREI ディーサイドトロイメライ,2021/9/30,"ホラー/オカルト, アニメ/コミック, 基本プレイ無料"
ドラゴンクエストけしケシ！,2021/12/1,"パズル, ドラゴンクエスト, 基本プレイ無料"
遊戯王クロスデュエル,2022/9/6,"無料, プレイ人数：1～4人, 対戦プレイ, 原作モノ, カード, アニメ/コミック, 協力プレイ"
聖剣伝説 ECHOES of MANA,2022/4/27,"ファンタジー, プレイ人数：1人, 無料"
AKB48 WORLD,2021/9/9,
夢職人と忘れじの黒い妖精,2022/2/18,"女性向け, 無料, イケメン, ファンタジー"
アーテリーギア-機動戦姫-,2021/11/18,無料
EXtreme LIVES,2022/3/1,無料
EXTASY VISUAL SHOCK,2022/3/31,無料
テイルズ オブ ルミナリア,2021/11/4,無料
機動戦士ガンダム 鉄血のオルフェンズG,2022/11/15,"ガンダム, アニメ/コミック, 原作モノ, 無料"
ブレイブリーデフォルト ブリリアントライツ,2022/1/27,"無料, ファンタジー"
メモリア  夢の旅人と双子の案内人,2022/3/30,"プレイ人数：1人, 無料"
クローバーシアター,2022/8/3,"ファンタジー, 無料"
404 GAME RE：SET -エラーゲームリセット-,2023/4/25,
ミラクルマッチ,2022/6/14,"原作モノ, 無料, 対戦プレイ"
鋼の錬金術師 MOBILE,2022/8/4,"アニメ/コミック, 原作モノ, 無料"
テクノロイド ユニゾンハート,2022/1/21,"女性向け, パズル, 無料, 浦 和希, 古川 慎, 梶原岳人, 榎木淳弥, 大塚剛央, 仲村宗悟, 渋谷 慧, 峯田大夢, kayto, 萩谷慧悟, 杉林晟人, イケメン"
エターナルツリー,2022/6/23,無料
からかい上手の高木さん キュンキュンレコーズ,2022/6/8,"アニメ/コミック, 原作モノ, カジュアル, 無料, プレイ人数：1人, 恋愛"
エンゲージ・キル,2023/3/1,"原作モノ, 恋愛, アニメ/コミック, 無料"
＆0,2022/5/30,"学園物, 日本"
タワーオブスカイ,2023/2/28,"パズル, 対戦プレイ, 無料"
アストラル・ミラージュ -幻城の姫君-,2022/11/14,
真・三國無双 M,2018/2/8,"プレイ人数：1～4人, 格闘, 三国志, 戦国時代, 東洋風, 日本, 武侠, 歴史物"
クローズ×WORST - XROSS OVER -,2022/7/20,"パズル, 無料"
アスタータタリクス,2023/8/28,"無料, ファンタジー"
＃コンパス ライブアリーナ,2022/7/22,無料
ミステリーレコード｜協力×謎解きの脱出アドベンチャーゲーム,2023/3/30,推理物
ユアマジェスティ,2022/10/21,無料
ダチメン伝説G　転生ヤンキーギルドバトルRPG,2023/5/16,無料
アルゴナビス -キミが見たステージへ-,2024/2/7,"女性向け, 無料, 育成, イケメン"
マブラヴ：ディメンションズ,2023/7/11,"SF, 原作モノ, 無料"
ゴールドラッシュバトラー,2023/7/19,カジュアル
BLACK STELLA PTOLOMEA,2023/12/7,無料
takt op. 運命は真紅き旋律の街を,2023/6/28,"ファンタジー, 無料, アニメ/コミック, 原作モノ"
ネバーアフター～逆転メルヘン～,2023/8/31,"ファンタジー, 無料"
ラブライブ！スクールアイドルフェスティバル2,2023/4/15,"原作モノ, アニメ/コミック, 無料"
トワツガイ,2023/2/16,"ファンタジー, 無料"
かみながしじま 〜輪廻の巫女〜,2023/6/6,"対戦プレイ, 無料, ホラー/オカルト"
キュービックスターズ ギリギリ直感シューティングゲーム,2023/5/23,ファンタジー
機兵とドラゴン,2024/4/8,"ファンタジー, 無料, 対戦プレイ, 協力プレイ"
GGGGG　協力・対戦アクションゲーム,2023/3/31,カジュアル
太鼓の達人 RHYTHM CONNECT,2023/11/1,"日本, 無料"
金色のガッシュベル！！ 永遠の絆の仲間たち,2024/1/17,"アニメ/コミック, 育成, 無料, 原作モノ"
エレメンタルストーリーワールド,2024/1/15,"ブロックチェーン, パズル, 無料"
モルガナティック・アイドル 乙女ゲーム・恋愛ゲーム,2024/3/5,恋愛
廻らぬ星のステラリウム,2024/4/23,"育成, ファンタジー, 日本, 無料, 女性向け, 女子にも人気, イケメン"
タップハンター～剣と魔法の放置RPG～,2024/2/15,"ファンタジー, 無料"
青山オペレッタ,2024/4/30,"女性向け, 育成, 無料"
