タイトル,発売日,備考
ONE PIECE サウザンドストーム,2016/4/21,"アニメ/コミック, 無料, 協力プレイ, プレイ人数：1～3人, 原作モノ"
仮面ライダー バトルラッシュ,2016/7/25,"原作モノ, カジュアル, プレイ人数：1人, 無料"
実況パワフルサッカー,2016/12/7,"サッカー, 育成, 無料"
スマッシュ＆マジック,2017/7/19,"ファンタジー, 無料, プレイ人数：1人, 協力プレイ"
オルタナティブガールズ,2016/7/20,"学園物, 育成, VR, 無料"
クックと魔法のレシピ おかわり,2017/7/6,"ほのぼの, 無料"
セブンズストーリー,2017/8/18,"ファンタジー, 無料"
HIDE AND FIRE,2016/9/26,"ミリタリー, 無料, 中国, 対戦プレイ, 協力プレイ"
8 beat Story ~アイドル×音楽ゲーム~,2016/5/13,アイドル音楽ゲーム
テイルズ オブ ザ レイズ,2017/2/28,"ファンタジー, 無料, プレイ人数：1人"
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,2016/7/14,"無料, アニメ/コミック, 原作モノ"
ディシディアファイナルファンタジー オペラオムニア,2017/2/1,"ファイナルファンタジー, ファンタジー, 無料"
ディズニー マイリトルドール,2016/9/1,"ほのぼの, 無料"
ハイキュー!!ドンピシャマッチ!!,2016/8/5,"アニメ/コミック, 原作モノ, 無料, バレーボール"
ドールズオーダー,2018/3/28,"無料, 対戦プレイ"
THE NEW GATE,2016/10/4,"アニメ/コミック, ファンタジー"
スーパー戦隊レジェンドウォーズ,2016/9/6,無料
三国ブレイズ：オンライン三国志RPG,2016/10/20,"三国志,歴史物"
STAR OCEAN -anamnesis-,2016/12/7,日本
THE KING OF FIGHTERS ALLSTAR,2018/7/26,"原作モノ, 無料"
ソードアート・オンライン メモリー・デフラグ,2016/8/29,"無料, 日本, ファンタジー, 原作モノ, 協力プレイ, アニメ/コミック"
バンドやろうぜ！,2016/10/12,"日本, 無料, 女性向け, 生田鷹司, 増田俊樹, 山下大輝, 石谷春貴, 小林正典, 花江夏樹, 内田雄馬, 梅原裕一郎, 蒼井翔太, 石川界人, 山本匠馬, 小林裕介, 黒沢ともよ, 田野アサミ, 湯浅かえで, 村川梨衣, イケメン"
銀魂 かぶき町大活劇,2016/9/15,"原作モノ, アニメ/コミック, 無料, 日本"
ソウルリバース ゼロ,2016/11/21,ファンタジー
モバサカ CHAMPIONS MANAGER,2017/9/7,サッカー
恋愛幕末カレシ～恋愛ゲーム・乙女ゲーム女性向け～,2017/3/14,"恋愛, 歴史物, 戦国時代, 女性向け, ファンタジー, イケメン, 無料, 森川智之, 花江夏樹, 鳥海浩輔, 小西克幸, 山下大輝, 森久保祥太郎, 岡本信彦, 前野智昭, 逢坂良太, 緑川 光, 柿原徹也, 荒牧慶彦, 興津和幸, 木村良平, 安元洋貴, 西山宏太朗, 中島ヨシキ, 村瀬 歩, 八代 拓, 北村 諒, 梅原裕一郎, 佐藤拓也, 森田成一, 小林裕介, 島﨑信長, 武内駿輔"
茜さすセカイでキミと詠う,2017/4/20,"ファンタジー, 歴史物, 女性向け, パズル, 無料, KENN, 細谷佳正, 諏訪部順一, 柿原徹也, 豊永利行, 逢坂良太, 沢城千春, 関 幸治, 片山 享, 蒼井翔太, 中井和哉, 興津和幸, 仲村宗悟, 高梨謙吾, 新垣樽助, 小林裕介, 野島健児, 杉田智和, 寺島拓篤, 小野友樹, 梶 裕貴, 花江夏樹, 山下誠一郎, 市来光弘, 熊谷健太郎, 金本涼輔, 村田太志, 小野賢章, 平川大輔, 内田雄馬, 服部武雄, 弓原健史, 浪川大輔, 井上和彦, 濱 健人, 天野七瑠, 松岡禎丞, 梅原裕一郎, 代永 翼, 前野智昭, 濱野大輝, 菊池卓也, 竹内良太, 木村 昴, 古川 慎, 鳥海浩輔, 櫻井孝宏, 下野 紘, 増田俊樹, 江口拓也, 河西健吾, 青木優太, 長井 新, 福島 潤, 釘宮理恵, 高橋広樹, 五十嵐裕美, 白井悠介, 八代 拓, 天﨑滉平, 西山宏太朗, イケメン"
キングダム セブンフラッグス,2016/10/24,"戦術級, 歴史物, 無料, アニメ/コミック, 原作モノ"
HIT - ヒット,2016/12/8,"韓国, 対戦プレイ, 協力プレイ, ファンタジー"
一血卍傑-ONLINE-,2016/11/24,"東洋風, 無料"
マギアレコード 魔法少女まどかマギカ外伝,2017/8/22,原作モノ
ファンタジーライフ オンライン,2018/7/23,"ほのぼの, 生活系, 無料"
マジカルデイズ｜魔法パズル×青春ストーリー！,2016/12/7,ファンタジー
戦国幻武～本格軍勢バトル～,2017/6/7,"戦国時代, 無料"
BRAVELY DEFAULT FAIRY'S EFFECT,2017/3/23,"ファンタジー, 無料, 日本"
歌マクロス スマホDeカルチャー,2017/8/3,"アニメ/コミック, 原作モノ, 無料, プレイ人数：1人"
にゅ～パズ松さん 新品卒業計画,2017/9/29,"アニメ/コミック, パズル, 原作モノ, 無料"
ドラゴンクエストライバルズ エース,2017/11/2,"カード, 対戦プレイ, 基本プレイ無料, ドラゴンクエスト"
PaniPani -パラレルニクスパンドラナイト-,2017/9/28,"ファンタジー, 無料"
どうぶつの森 ポケットキャンプ,2017/11/21,"日本, ほのぼの"
ららマジ,2017/1/25,"ほのぼの, ファンタジー, プレイ人数：1人, 無料, 育成, 学園物"
グラフィティスマッシュ,2017/10/25,"無料, プレイ人数：1人, 協力プレイ, 対戦プレイ"
ジャンプチ ヒーローズ,2018/3/28,"アニメ/コミック, 原作モノ, 無料"
StarHorsePocket+,2017/1/27,"競馬, 育成, 無料, プレイ人数：1人"
トリカゴ スクラップマーチ,2019/4/25,無料
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2017/2/20,"アニメ/コミック, 原作モノ, 無料, プレイ人数：1人, 日本"
うたのプリンスさまっ Shining Live,2017/8/28,日本
千銃士,2019/6/10,"プレイ人数：1人, 女性向け, イケメン"
