タイトル,年月,サービス終了日,売上予測（円）
少女歌劇 レヴュースタァライト -Re LIVE-,2023/06,2024/09/30,44380000
少女歌劇 レヴュースタァライト -Re LIVE-,2023/05,2024/09/30,45580000
少女歌劇 レヴュースタァライト -Re LIVE-,2023/04,2024/09/30,47780000
少女歌劇 レヴュースタァライト -Re LIVE-,2023/03,2024/09/30,48230000
少女歌劇 レヴュースタァライト -Re LIVE-,2023/02,2024/09/30,57050000
少女歌劇 レヴュースタァライト -Re LIVE-,2023/01,2024/09/30,53400000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/08,2024/09/30,5710000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/07,2024/09/30,47850000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/06,2024/09/30,39010000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/05,2024/09/30,46500000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/04,2024/09/30,43160000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/03,2024/09/30,43440000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/02,2024/09/30,41360000
少女歌劇 レヴュースタァライト -Re LIVE-,2024/01,2024/09/30,47490000
禍つヴァールハイト,2019/12,2021/03/31,67880000
禍つヴァールハイト,2019/11,2021/03/31,105000000
禍つヴァールハイト,2019/10,2021/03/31,99250000
禍つヴァールハイト,2019/09,2021/03/31,112000000
禍つヴァールハイト,2019/08,2021/03/31,124000000
禍つヴァールハイト,2019/07,2021/03/31,190000000
禍つヴァールハイト,2019/06,2021/03/31,229000000
禍つヴァールハイト,2019/05,2021/03/31,294000000
禍つヴァールハイト,2019/04,2021/03/31,102000000
禍つヴァールハイト,2020/12,2021/03/31,5680000
禍つヴァールハイト,2020/11,2021/03/31,13780000
禍つヴァールハイト,2020/10,2021/03/31,12750000
禍つヴァールハイト,2020/09,2021/03/31,18780000
禍つヴァールハイト,2020/08,2021/03/31,23000000
禍つヴァールハイト,2020/07,2021/03/31,21170000
禍つヴァールハイト,2020/06,2021/03/31,26490000
禍つヴァールハイト,2020/05,2021/03/31,49030000
禍つヴァールハイト,2020/04,2021/03/31,30740000
禍つヴァールハイト,2020/03,2021/03/31,47490000
禍つヴァールハイト,2020/02,2021/03/31,46880000
禍つヴァールハイト,2020/01,2021/03/31,48700000
禍つヴァールハイト,2021/01,2021/03/31,260000
真・北斗無双,2020/12,2025/01/27,75150000
真・北斗無双,2021/12,2025/01/27,69170000
真・北斗無双,2021/11,2025/01/27,46800000
真・北斗無双,2021/10,2025/01/27,55510000
真・北斗無双,2021/09,2025/01/27,58140000
真・北斗無双,2021/08,2025/01/27,50080000
真・北斗無双,2021/07,2025/01/27,69050000
真・北斗無双,2021/06,2025/01/27,68810000
真・北斗無双,2021/05,2025/01/27,50070000
真・北斗無双,2021/04,2025/01/27,86360000
真・北斗無双,2021/03,2025/01/27,67020000
真・北斗無双,2021/02,2025/01/27,43350000
真・北斗無双,2021/01,2025/01/27,62760000
真・北斗無双,2022/12,2025/01/27,66790000
真・北斗無双,2022/11,2025/01/27,56110000
真・北斗無双,2022/10,2025/01/27,56580000
真・北斗無双,2022/09,2025/01/27,56640000
真・北斗無双,2022/08,2025/01/27,47590000
真・北斗無双,2022/07,2025/01/27,44920000
真・北斗無双,2022/06,2025/01/27,53050000
真・北斗無双,2022/05,2025/01/27,47550000
真・北斗無双,2022/04,2025/01/27,58090000
真・北斗無双,2022/03,2025/01/27,62810000
真・北斗無双,2022/02,2025/01/27,59830000
真・北斗無双,2022/01,2025/01/27,63380000
真・北斗無双,2023/12,2025/01/27,51620000
真・北斗無双,2023/11,2025/01/27,38060000
真・北斗無双,2023/10,2025/01/27,49620000
真・北斗無双,2023/09,2025/01/27,54160000
真・北斗無双,2023/08,2025/01/27,47710000
真・北斗無双,2023/07,2025/01/27,61380000
真・北斗無双,2023/06,2025/01/27,53230000
真・北斗無双,2023/05,2025/01/27,42170000
真・北斗無双,2023/04,2025/01/27,53450000
真・北斗無双,2023/03,2025/01/27,54050000
真・北斗無双,2023/02,2025/01/27,50960000
真・北斗無双,2023/01,2025/01/27,61700000
真・北斗無双,2024/12,2025/01/27,9060000
真・北斗無双,2024/11,2025/01/27,41940000
真・北斗無双,2024/10,2025/01/27,40450000
真・北斗無双,2024/09,2025/01/27,44720000
真・北斗無双,2024/08,2025/01/27,48200000
真・北斗無双,2024/07,2025/01/27,49120000
真・北斗無双,2024/06,2025/01/27,47200000
真・北斗無双,2024/05,2025/01/27,40690000
真・北斗無双,2024/04,2025/01/27,41540000
真・北斗無双,2024/03,2025/01/27,47210000
真・北斗無双,2024/02,2025/01/27,39860000
真・北斗無双,2024/01,2025/01/27,53030000
ブラッククローバー 夢幻の騎士団,2018/12,2020/12/09,82060000
ブラッククローバー 夢幻の騎士団,2018/11,2020/12/09,77110000
ブラッククローバー 夢幻の騎士団,2019/12,2020/12/09,14200000
ブラッククローバー 夢幻の騎士団,2019/11,2020/12/09,15530000
ブラッククローバー 夢幻の騎士団,2019/10,2020/12/09,7390000
ブラッククローバー 夢幻の騎士団,2019/09,2020/12/09,12880000
ブラッククローバー 夢幻の騎士団,2019/08,2020/12/09,20030000
ブラッククローバー 夢幻の騎士団,2019/07,2020/12/09,25270000
ブラッククローバー 夢幻の騎士団,2019/06,2020/12/09,15940000
ブラッククローバー 夢幻の騎士団,2019/05,2020/12/09,83710000
ブラッククローバー 夢幻の騎士団,2019/04,2020/12/09,8590000
ブラッククローバー 夢幻の騎士団,2019/03,2020/12/09,29850000
ブラッククローバー 夢幻の騎士団,2019/02,2020/12/09,13490000
ブラッククローバー 夢幻の騎士団,2019/01,2020/12/09,10220000
ブラッククローバー 夢幻の騎士団,2020/09,2020/12/09,2790000
ブラッククローバー 夢幻の騎士団,2020/08,2020/12/09,6200000
ブラッククローバー 夢幻の騎士団,2020/07,2020/12/09,10550000
ブラッククローバー 夢幻の騎士団,2020/06,2020/12/09,13050000
ブラッククローバー 夢幻の騎士団,2020/05,2020/12/09,30710000
ブラッククローバー 夢幻の騎士団,2020/04,2020/12/09,5470000
ブラッククローバー 夢幻の騎士団,2020/03,2020/12/09,16390000
ブラッククローバー 夢幻の騎士団,2020/02,2020/12/09,9890000
ブラッククローバー 夢幻の騎士団,2020/01,2020/12/09,14890000
ユニティア神託の使徒×終焉の女神,2018/12,2020/03/31,16500000
ユニティア神託の使徒×終焉の女神,2018/11,2020/03/31,6560000
ユニティア神託の使徒×終焉の女神,2018/10,2020/03/31,8380000
ユニティア神託の使徒×終焉の女神,2018/09,2020/03/31,19410000
ユニティア神託の使徒×終焉の女神,2018/08,2020/03/31,93890000
ユニティア神託の使徒×終焉の女神,2019/12,2020/03/31,2000000
ユニティア神託の使徒×終焉の女神,2019/11,2020/03/31,4800000
ユニティア神託の使徒×終焉の女神,2019/10,2020/03/31,1410000
ユニティア神託の使徒×終焉の女神,2019/09,2020/03/31,4180000
ユニティア神託の使徒×終焉の女神,2019/08,2020/03/31,16080000
ユニティア神託の使徒×終焉の女神,2019/07,2020/03/31,18130000
ユニティア神託の使徒×終焉の女神,2019/06,2020/03/31,1590000
ユニティア神託の使徒×終焉の女神,2019/03,2020/03/31,1580000
ユニティア神託の使徒×終焉の女神,2019/02,2020/03/31,11990000
ユニティア神託の使徒×終焉の女神,2019/01,2020/03/31,15100000
ユニティア神託の使徒×終焉の女神,2020/02,2020/03/31,2520000
ユニティア神託の使徒×終焉の女神,2020/01,2020/03/31,3120000
プレカトゥスの天秤,2018/12,2020/01/06,26950000
プレカトゥスの天秤,2018/11,2020/01/06,95970000
プレカトゥスの天秤,2019/12,2020/01/06,2050000
プレカトゥスの天秤,2019/08,2020/01/06,350000
プレカトゥスの天秤,2019/07,2020/01/06,3610000
プレカトゥスの天秤,2019/06,2020/01/06,610000
プレカトゥスの天秤,2019/02,2020/01/06,17570000
プレカトゥスの天秤,2019/01,2020/01/06,28970000
ツムツムスタジアム,2020/12,2022/09/30,49390000
ツムツムスタジアム,2020/11,2022/09/30,64930000
ツムツムスタジアム,2020/10,2022/09/30,146000000
ツムツムスタジアム,2020/09,2022/09/30,7680000
ツムツムスタジアム,2021/12,2022/09/30,39080000
ツムツムスタジアム,2021/11,2022/09/30,45240000
ツムツムスタジアム,2021/10,2022/09/30,54380000
ツムツムスタジアム,2021/09,2022/09/30,25670000
ツムツムスタジアム,2021/08,2022/09/30,38650000
ツムツムスタジアム,2021/07,2022/09/30,32250000
ツムツムスタジアム,2021/06,2022/09/30,42530000
ツムツムスタジアム,2021/05,2022/09/30,42120000
ツムツムスタジアム,2021/04,2022/09/30,38510000
ツムツムスタジアム,2021/03,2022/09/30,39330000
ツムツムスタジアム,2021/02,2022/09/30,41910000
ツムツムスタジアム,2021/01,2022/09/30,39940000
ツムツムスタジアム,2022/07,2022/09/30,12460000
ツムツムスタジアム,2022/06,2022/09/30,17570000
ツムツムスタジアム,2022/05,2022/09/30,27050000
ツムツムスタジアム,2022/04,2022/09/30,33860000
ツムツムスタジアム,2022/03,2022/09/30,38620000
ツムツムスタジアム,2022/02,2022/09/30,32530000
ツムツムスタジアム,2022/01,2022/09/30,46490000
ケンガン ULTIMATE BATTLE,2019/12,2021/04/26,140000
ケンガン ULTIMATE BATTLE,2019/11,2021/04/26,960000
ケンガン ULTIMATE BATTLE,2019/10,2021/04/26,570000
ケンガン ULTIMATE BATTLE,2019/09,2021/04/26,1790000
ケンガン ULTIMATE BATTLE,2019/08,2021/04/26,2400000
ケンガン ULTIMATE BATTLE,2019/07,2021/04/26,6470000
ケンガン ULTIMATE BATTLE,2019/06,2021/04/26,12230000
ケンガン ULTIMATE BATTLE,2020/12,2021/04/26,410000
ケンガン ULTIMATE BATTLE,2020/08,2021/04/26,460000
ケンガン ULTIMATE BATTLE,2020/07,2021/04/26,2090000
ケンガン ULTIMATE BATTLE,2020/06,2021/04/26,3190000
ケンガン ULTIMATE BATTLE,2020/05,2021/04/26,1680000
ケンガン ULTIMATE BATTLE,2020/04,2021/04/26,2180000
ケンガン ULTIMATE BATTLE,2020/03,2021/04/26,440000
ケンガン ULTIMATE BATTLE,2020/02,2021/04/26,40000
ケンガン ULTIMATE BATTLE,2020/01,2021/04/26,240000
リンクスリングス,2019/12,2020/08/31,2090000
リンクスリングス,2019/11,2020/08/31,6420000
リンクスリングス,2019/10,2020/08/31,16900000
リンクスリングス,2019/09,2020/08/31,19910000
リンクスリングス,2019/08,2020/08/31,60560000
リンクスリングス,2019/07,2020/08/31,54210000
リンクスリングス,2019/06,2020/08/31,149000000
リンクスリングス,2020/04,2020/08/31,540000
リンクスリングス,2020/02,2020/08/31,960000
リンクスリングス,2020/01,2020/08/31,930000
ジョジョのピタパタポップ,2018/12,2021/09/02,7430000
ジョジョのピタパタポップ,2018/11,2021/09/02,14120000
ジョジョのピタパタポップ,2018/10,2021/09/02,29460000
ジョジョのピタパタポップ,2019/12,2021/09/02,28410000
ジョジョのピタパタポップ,2019/11,2021/09/02,24440000
ジョジョのピタパタポップ,2019/10,2021/09/02,73770000
ジョジョのピタパタポップ,2019/09,2021/09/02,42840000
ジョジョのピタパタポップ,2019/08,2021/09/02,73110000
ジョジョのピタパタポップ,2019/07,2021/09/02,47610000
ジョジョのピタパタポップ,2019/06,2021/09/02,56520000
ジョジョのピタパタポップ,2019/05,2021/09/02,123000000
ジョジョのピタパタポップ,2019/04,2021/09/02,54990000
ジョジョのピタパタポップ,2019/03,2021/09/02,62600000
ジョジョのピタパタポップ,2019/02,2021/09/02,53790000
ジョジョのピタパタポップ,2019/01,2021/09/02,24110000
ジョジョのピタパタポップ,2020/12,2021/09/02,6770000
ジョジョのピタパタポップ,2020/11,2021/09/02,9710000
ジョジョのピタパタポップ,2020/10,2021/09/02,40790000
ジョジョのピタパタポップ,2020/09,2021/09/02,15330000
ジョジョのピタパタポップ,2020/08,2021/09/02,11190000
ジョジョのピタパタポップ,2020/07,2021/09/02,28560000
ジョジョのピタパタポップ,2020/06,2021/09/02,31070000
ジョジョのピタパタポップ,2020/05,2021/09/02,28170000
ジョジョのピタパタポップ,2020/04,2021/09/02,33640000
ジョジョのピタパタポップ,2020/03,2021/09/02,30400000
ジョジョのピタパタポップ,2020/02,2021/09/02,32540000
ジョジョのピタパタポップ,2020/01,2021/09/02,29810000
ジョジョのピタパタポップ,2021/06,2021/09/02,32900000
ジョジョのピタパタポップ,2021/05,2021/09/02,20040000
ジョジョのピタパタポップ,2021/04,2021/09/02,39120000
ジョジョのピタパタポップ,2021/03,2021/09/02,40320000
ジョジョのピタパタポップ,2021/02,2021/09/02,30570000
ジョジョのピタパタポップ,2021/01,2021/09/02,22310000
ブレイドエクスロード,2019/12,2022/07/29,228000000
ブレイドエクスロード,2019/11,2022/07/29,355000000
ブレイドエクスロード,2019/10,2022/07/29,121000000
ブレイドエクスロード,2020/12,2022/07/29,101000000
ブレイドエクスロード,2020/11,2022/07/29,126000000
ブレイドエクスロード,2020/10,2022/07/29,116000000
ブレイドエクスロード,2020/09,2022/07/29,95290000
ブレイドエクスロード,2020/08,2022/07/29,113000000
ブレイドエクスロード,2020/07,2022/07/29,153000000
ブレイドエクスロード,2020/06,2022/07/29,154000000
ブレイドエクスロード,2020/05,2022/07/29,107000000
ブレイドエクスロード,2020/04,2022/07/29,115000000
ブレイドエクスロード,2020/03,2022/07/29,124000000
ブレイドエクスロード,2020/02,2022/07/29,146000000
ブレイドエクスロード,2020/01,2022/07/29,195000000
ブレイドエクスロード,2021/12,2022/07/29,45070000
ブレイドエクスロード,2021/11,2022/07/29,54040000
ブレイドエクスロード,2021/10,2022/07/29,31850000
ブレイドエクスロード,2021/09,2022/07/29,36730000
ブレイドエクスロード,2021/08,2022/07/29,50810000
ブレイドエクスロード,2021/07,2022/07/29,55140000
ブレイドエクスロード,2021/06,2022/07/29,64450000
ブレイドエクスロード,2021/05,2022/07/29,82530000
ブレイドエクスロード,2021/04,2022/07/29,80480000
ブレイドエクスロード,2021/03,2022/07/29,74080000
ブレイドエクスロード,2021/02,2022/07/29,115000000
ブレイドエクスロード,2021/01,2022/07/29,85740000
ブレイドエクスロード,2022/05,2022/07/29,36990000
ブレイドエクスロード,2022/04,2022/07/29,47930000
ブレイドエクスロード,2022/03,2022/07/29,41260000
ブレイドエクスロード,2022/02,2022/07/29,33010000
ブレイドエクスロード,2022/01,2022/07/29,41820000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2018/11,2023/01/16,19870000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/12,2023/01/16,9820000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/11,2023/01/16,31190000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/10,2023/01/16,7890000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/09,2023/01/16,11700000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/08,2023/01/16,8740000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/07,2023/01/16,25390000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/06,2023/01/16,28270000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/05,2023/01/16,11840000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/04,2023/01/16,7130000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/03,2023/01/16,22080000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/02,2023/01/16,18650000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2019/01,2023/01/16,21600000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/12,2023/01/16,2180000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/11,2023/01/16,17840000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/10,2023/01/16,4410000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/09,2023/01/16,4760000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/08,2023/01/16,1880000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/07,2023/01/16,7590000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/06,2023/01/16,5730000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/05,2023/01/16,8300000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/04,2023/01/16,11600000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/03,2023/01/16,16920000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/02,2023/01/16,6530000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2020/01,2023/01/16,9260000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/12,2023/01/16,22090000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/11,2023/01/16,39950000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/10,2023/01/16,30850000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/09,2023/01/16,25540000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/08,2023/01/16,15610000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/07,2023/01/16,8930000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/06,2023/01/16,9380000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/05,2023/01/16,2180000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/04,2023/01/16,4470000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/03,2023/01/16,7510000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/02,2023/01/16,6420000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2021/01,2023/01/16,3380000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/12,2023/01/16,660000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/11,2023/01/16,6190000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/10,2023/01/16,6770000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/09,2023/01/16,18050000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/08,2023/01/16,17610000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/07,2023/01/16,18360000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/06,2023/01/16,23550000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/05,2023/01/16,15700000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/04,2023/01/16,20980000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/03,2023/01/16,31050000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/02,2023/01/16,14540000
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2022/01,2023/01/16,27280000
劇的采配！プロ野球リバーサル,2019/12,2021/12/16,43560000
劇的采配！プロ野球リバーサル,2019/11,2021/12/16,53790000
劇的采配！プロ野球リバーサル,2019/10,2021/12/16,35050000
劇的采配！プロ野球リバーサル,2019/09,2021/12/16,46590000
劇的采配！プロ野球リバーサル,2019/08,2021/12/16,61080000
劇的采配！プロ野球リバーサル,2019/07,2021/12/16,122000000
劇的采配！プロ野球リバーサル,2019/06,2021/12/16,141000000
劇的采配！プロ野球リバーサル,2019/05,2021/12/16,87170000
劇的采配！プロ野球リバーサル,2020/12,2021/12/16,24530000
劇的采配！プロ野球リバーサル,2020/11,2021/12/16,33110000
劇的采配！プロ野球リバーサル,2020/10,2021/12/16,32350000
劇的采配！プロ野球リバーサル,2020/09,2021/12/16,33350000
劇的采配！プロ野球リバーサル,2020/08,2021/12/16,24890000
劇的采配！プロ野球リバーサル,2020/07,2021/12/16,28990000
劇的采配！プロ野球リバーサル,2020/06,2021/12/16,32750000
劇的采配！プロ野球リバーサル,2020/05,2021/12/16,35170000
劇的采配！プロ野球リバーサル,2020/04,2021/12/16,13610000
劇的采配！プロ野球リバーサル,2020/03,2021/12/16,28090000
劇的采配！プロ野球リバーサル,2020/02,2021/12/16,44700000
劇的采配！プロ野球リバーサル,2020/01,2021/12/16,42150000
劇的采配！プロ野球リバーサル,2021/10,2021/12/16,31000000
劇的采配！プロ野球リバーサル,2021/09,2021/12/16,2710000
劇的采配！プロ野球リバーサル,2021/08,2021/12/16,31740000
劇的采配！プロ野球リバーサル,2021/07,2021/12/16,28790000
劇的采配！プロ野球リバーサル,2021/06,2021/12/16,29460000
劇的采配！プロ野球リバーサル,2021/05,2021/12/16,32030000
劇的采配！プロ野球リバーサル,2021/04,2021/12/16,13380000
劇的采配！プロ野球リバーサル,2021/03,2021/12/16,32700000
劇的采配！プロ野球リバーサル,2021/02,2021/12/16,38650000
劇的采配！プロ野球リバーサル,2021/01,2021/12/16,29420000
FAITH - フェイス,2018/12,2020/06/08,338000000
FAITH - フェイス,2018/11,2020/06/08,205000000
FAITH - フェイス,2019/12,2020/06/08,37070000
FAITH - フェイス,2019/11,2020/06/08,33650000
FAITH - フェイス,2019/10,2020/06/08,26200000
FAITH - フェイス,2019/09,2020/06/08,46140000
FAITH - フェイス,2019/08,2020/06/08,81350000
FAITH - フェイス,2019/07,2020/06/08,57970000
FAITH - フェイス,2019/06,2020/06/08,49850000
FAITH - フェイス,2019/05,2020/06/08,55750000
FAITH - フェイス,2019/04,2020/06/08,102000000
FAITH - フェイス,2019/03,2020/06/08,119000000
FAITH - フェイス,2019/02,2020/06/08,176000000
FAITH - フェイス,2019/01,2020/06/08,244000000
FAITH - フェイス,2020/04,2020/06/08,2940000
FAITH - フェイス,2020/03,2020/06/08,17800000
FAITH - フェイス,2020/02,2020/06/08,8770000
FAITH - フェイス,2020/01,2020/06/08,39070000
シティダンク,2019/12,2021/12/21,52630000
シティダンク,2019/11,2021/12/21,59410000
シティダンク,2019/10,2021/12/21,63320000
シティダンク,2019/09,2021/12/21,61800000
シティダンク,2019/08,2021/12/21,56010000
シティダンク,2019/07,2021/12/21,75850000
シティダンク,2019/06,2021/12/21,85480000
シティダンク,2019/05,2021/12/21,93300000
シティダンク,2019/04,2021/12/21,140000000
シティダンク,2019/03,2021/12/21,60530000
シティダンク,2020/12,2021/12/21,4040000
シティダンク,2020/11,2021/12/21,3020000
シティダンク,2020/10,2021/12/21,5900000
シティダンク,2020/09,2021/12/21,7260000
シティダンク,2020/08,2021/12/21,6000000
シティダンク,2020/07,2021/12/21,8800000
シティダンク,2020/06,2021/12/21,11360000
シティダンク,2020/05,2021/12/21,20380000
シティダンク,2020/04,2021/12/21,37200000
シティダンク,2020/03,2021/12/21,44180000
シティダンク,2020/02,2021/12/21,35890000
シティダンク,2020/01,2021/12/21,42490000
シティダンク,2021/11,2021/12/21,4830000
シティダンク,2021/10,2021/12/21,14830000
シティダンク,2021/08,2021/12/21,2240000
シティダンク,2021/07,2021/12/21,3340000
シティダンク,2021/06,2021/12/21,2310000
シティダンク,2021/05,2021/12/21,1500000
シティダンク,2021/04,2021/12/21,3330000
シティダンク,2021/03,2021/12/21,5580000
シティダンク,2021/02,2021/12/21,6190000
シティダンク,2021/01,2021/12/21,1890000
〈物語〉シリーズ ぷくぷく,2018/12,2020/03/31,78010000
〈物語〉シリーズ ぷくぷく,2018/11,2020/03/31,91880000
〈物語〉シリーズ ぷくぷく,2018/10,2020/03/31,139000000
〈物語〉シリーズ ぷくぷく,2018/09,2020/03/31,193000000
〈物語〉シリーズ ぷくぷく,2018/08,2020/03/31,110000000
〈物語〉シリーズ ぷくぷく,2019/12,2020/03/31,47490000
〈物語〉シリーズ ぷくぷく,2019/11,2020/03/31,26700000
〈物語〉シリーズ ぷくぷく,2019/10,2020/03/31,30420000
〈物語〉シリーズ ぷくぷく,2019/09,2020/03/31,64680000
〈物語〉シリーズ ぷくぷく,2019/08,2020/03/31,58290000
〈物語〉シリーズ ぷくぷく,2019/07,2020/03/31,37610000
〈物語〉シリーズ ぷくぷく,2019/06,2020/03/31,37150000
〈物語〉シリーズ ぷくぷく,2019/05,2020/03/31,69280000
〈物語〉シリーズ ぷくぷく,2019/04,2020/03/31,95470000
〈物語〉シリーズ ぷくぷく,2019/03,2020/03/31,52520000
〈物語〉シリーズ ぷくぷく,2019/02,2020/03/31,54810000
〈物語〉シリーズ ぷくぷく,2019/01,2020/03/31,45440000
〈物語〉シリーズ ぷくぷく,2020/02,2020/03/31,10610000
〈物語〉シリーズ ぷくぷく,2020/01,2020/03/31,61470000
Readyyy!,2019/04,2019/06/28,19270000
Readyyy!,2019/03,2019/06/28,30350000
Readyyy!,2019/02,2019/06/28,6050000
グリムエコーズ,2019/12,2021/08/31,65430000
グリムエコーズ,2019/11,2021/08/31,35960000
グリムエコーズ,2019/10,2021/08/31,71590000
グリムエコーズ,2019/09,2021/08/31,20760000
グリムエコーズ,2019/08,2021/08/31,72030000
グリムエコーズ,2019/07,2021/08/31,45720000
グリムエコーズ,2019/06,2021/08/31,74170000
グリムエコーズ,2019/05,2021/08/31,107000000
グリムエコーズ,2019/04,2021/08/31,288000000
グリムエコーズ,2019/03,2021/08/31,26350000
グリムエコーズ,2020/12,2021/08/31,25420000
グリムエコーズ,2020/11,2021/08/31,26270000
グリムエコーズ,2020/10,2021/08/31,38720000
グリムエコーズ,2020/09,2021/08/31,41190000
グリムエコーズ,2020/08,2021/08/31,32040000
グリムエコーズ,2020/07,2021/08/31,40430000
グリムエコーズ,2020/06,2021/08/31,40060000
グリムエコーズ,2020/05,2021/08/31,61800000
グリムエコーズ,2020/04,2021/08/31,94600000
グリムエコーズ,2020/03,2021/08/31,49080000
グリムエコーズ,2020/02,2021/08/31,46030000
グリムエコーズ,2020/01,2021/08/31,41870000
グリムエコーズ,2021/06,2021/08/31,19970000
グリムエコーズ,2021/05,2021/08/31,25240000
グリムエコーズ,2021/04,2021/08/31,53260000
グリムエコーズ,2021/03,2021/08/31,33470000
グリムエコーズ,2021/02,2021/08/31,36040000
グリムエコーズ,2021/01,2021/08/31,25810000
DarkAvenger X - ダークアベンジャー クロス,2019/11,2020/01/30,5860000
DarkAvenger X - ダークアベンジャー クロス,2019/10,2020/01/30,19450000
DarkAvenger X - ダークアベンジャー クロス,2019/09,2020/01/30,18800000
DarkAvenger X - ダークアベンジャー クロス,2019/08,2020/01/30,23440000
DarkAvenger X - ダークアベンジャー クロス,2019/07,2020/01/30,27180000
DarkAvenger X - ダークアベンジャー クロス,2019/06,2020/01/30,30540000
DarkAvenger X - ダークアベンジャー クロス,2019/05,2020/01/30,24970000
DarkAvenger X - ダークアベンジャー クロス,2019/04,2020/01/30,54000000
DarkAvenger X - ダークアベンジャー クロス,2019/03,2020/01/30,146000000
DarkAvenger X - ダークアベンジャー クロス,2019/02,2020/01/30,158000000
ドラゴンネストM,2018/12,2021/03/31,131000000
ドラゴンネストM,2019/12,2021/03/31,58480000
ドラゴンネストM,2019/11,2021/03/31,50810000
ドラゴンネストM,2019/10,2021/03/31,56420000
ドラゴンネストM,2019/09,2021/03/31,66470000
ドラゴンネストM,2019/08,2021/03/31,79070000
ドラゴンネストM,2019/07,2021/03/31,117000000
ドラゴンネストM,2019/06,2021/03/31,101000000
ドラゴンネストM,2019/05,2021/03/31,117000000
ドラゴンネストM,2019/04,2021/03/31,164000000
ドラゴンネストM,2019/03,2021/03/31,180000000
